Project,Client,Title,Duration
SOS1920-02,,"#1 Haber completado el perfil (nombre, apellidos y fotografía) en la herramienta Piazza",00:06:27
SOS1920-02,,#1 L02,00:03:11
SOS1920-02,,#10 Heroku,02:11:26
SOS1920-02,,#11 Tener un conjunto de pruebas de postman,03:17:10
SOS1920-02,,#12 Crear API REST,05:02:00
SOS1920-02,,#13 Corregir el código de la clase del viernes,03:27:16
SOS1920-02,,#14 Comprobación de test,03:00:50
SOS1920-02,,#15 Corregir errores F03,00:06:59
SOS1920-02,,#16 Realizar el código de paginación,02:15:33
SOS1920-02,,#17 Realizar las búsquedas,04:04:00
SOS1920-02,,#18 Se debe devolver en cada caso un Objeto o un Array,03:28:43
SOS1920-02,,#19 Los identificadores de recursos que son compuestos por varias propiedades,03:01:42
SOS1920-02,,#2 Registrar información en el repositorio común de la asignatura,00:14:50
SOS1920-02,,#20 Pruebas postman,04:33:00
SOS1920-02,,"#21 Eliminar la propiedad ""_id""",02:22:12
SOS1920-02,,"#22 Eliminar la propiedad ""_id""",02:46:00
SOS1920-02,,#22 Pruebas postman v2,02:25:00
SOS1920-02,,#23 Añadir botón Atrás,00:00:07
SOS1920-02,,#24 Que muestre al usuario un mensaje informativo del estado de la operación realizada:,03:12:23
SOS1920-02,,#25 awesome-charting,05:24:16
SOS1920-02,,#26 Añadir widget,03:35:08
SOS1920-02,,#27 Integrar una API,01:52:25
SOS1920-02,,#28 APIs Externas,06:48:00
SOS1920-02,,#3 Devolver la hora actual,00:14:49
SOS1920-02,,#4 Configurar slack,00:04:30
SOS1920-02,,#5 Sincronizar repositorio en GoormIDE,00:54:11
SOS1920-02,,#7 Haber completado la ficha del trabajo a partir de la plantilla y asegurándose que se cumplan los siguientes requisitos:,01:08:43
SOS1920-02,,#8 Modificar archivo index.html,02:15:26
SOS1920-02,,"#9 Tener implementado en el proyecto de grupo el código de un servidor web realizado en NodeJS y usando el modulo “express” que devuelve los archivos dentro de la carpeta “/public"".",03:00:05
SOS1920-02,,Arreglar error del f03,00:19:45
SOS1920-02,,Añadir más datos a la API,00:17:26
SOS1920-02,,Cambiar get a un recurso,00:05:22
SOS1920-02,,Completar plantilla,00:18:42
SOS1920-02,,Comprobar códigos de error,00:11:30
SOS1920-02,,Comprobar que se cumplen tabla azul y verde,00:19:20
SOS1920-02,,Crear al menos una issue,00:13:29
SOS1920-02,,Crear búsquedas,01:16:00
SOS1920-02,,Crear códigos de error,00:36:10
SOS1920-02,,Crear Front-end,02:49:05
SOS1920-02,,Crear método loadInitialData,00:12:02
SOS1920-02,,Crear métodos de la API,03:42:49
SOS1920-02,,Crear paginación,00:46:17
SOS1920-02,,Crear página de modificación de recurso,01:06:28
SOS1920-02,,Crear v2,00:35:14
SOS1920-02,,Extender colección Postman,00:19:05
SOS1920-02,,Grabar vídeo,00:25:00
SOS1920-02,,Gráfica con biblioteca de awesome-charting,04:48:00
SOS1920-02,,Gráfica con Highcharts,01:48:31
SOS1920-02,,Haber completado la ficha del trabajo,00:20:04
SOS1920-02,,Implementar búsquedas,02:17:51
SOS1920-02,,Implementar planificación,04:19:00
SOS1920-02,,Instalar Postman,00:07:54
SOS1920-02,,Integra con compañeros de SOS,05:45:14
SOS1920-02,,Integrar APIs externas,05:35:00
SOS1920-02,,Modularizar código,01:50:51
SOS1920-02,,Paralelizar colección y publicarla,00:09:32
SOS1920-02,,Registrar información en el repositorio común de la asignatura,00:14:32
SOS1920-02,,Tener desplegado en heroku la API,00:10:27
SOS1920-02,,Tener integrado el despliegue automatizado en heroku,00:18:00
,,#2 Prueba,00:00:49
,,,00:00:02
